,0,1,2,3,4,5,6,7,8,9,10,11,12,13,y
34901,954.3024262113022,44.600318805933604,602.7386207565326,-31.2375696235325,145.5796617083175,-19.11176135320869,108.43939676117958,-14.104244601968674,-164.8066256216443,-67.41262694384481,-102.12570902567856,110.15053745940317,97.58012057027001,0.8146479439044781,0
144,1035.956390903773,645.4123595197997,-159.72272151211874,125.87297563040936,-35.37841752436748,-111.49733343996242,-23.70610807093999,65.51570131042548,-51.40850543815074,-98.44033110974277,-139.0721151371235,-139.84296534767597,-170.02220374002826,-79.96063183992922,0
7482,1035.9564086505545,645.4120677592692,-159.72245044710127,125.8728769207088,-35.378214006634245,-111.49656424908707,-23.70592277671973,65.51442381952333,-51.40945623815891,-98.44095242338298,-139.07343343048512,-139.84246381382007,-170.0232101094868,-79.96096330512123,0
31323,810.6348760705177,-363.6203544020586,-117.66311700552409,93.53444253220803,98.09130886239753,-185.32646070584656,329.84009798316794,-100.64442900439323,-57.452864264383955,-219.82892184661972,497.72854717650716,83.0082411251455,152.83981010916276,109.20148833682141,0
40151,903.8732162258161,-91.4214460626927,-510.4118184086766,141.72338392857375,152.40716612601113,-66.05704466704206,-222.85791531124545,-42.77320453182772,322.58795303803714,6.835811795730991,-50.837443607255096,114.35655229735407,145.8056111686684,-223.39353936077336,0
29002,1022.3294354122678,-297.7987905252485,-376.5107226440879,-168.97633341798218,31.973867655583465,-66.88887067914528,-205.64384316604864,-38.5613015521466,-189.18033554351226,139.46496423739023,27.49598992455363,70.62576820885394,-94.20551954329416,-20.899691538868264,0
15886,814.5425800664663,-297.0941284126489,-201.53675389430768,-354.36863765985333,380.15154950694546,533.7832960308289,270.8031763997483,91.71447443442368,122.5350870393668,-90.88252898813737,-126.8876731953876,175.1784676998959,-40.52379867791969,322.32109238999305,0
41110,1006.8749897420955,-127.92121752696214,225.95919012549143,17.762015749892193,-322.05643048183526,17.319781359677254,-143.30064527326033,-219.53479457285425,-94.55436744219196,-4.802144937308671,-54.360850320729185,-87.1775163578836,415.32801820277075,-285.89487482937807,0
31898,836.2449806368007,107.9827646274925,87.94368266704622,-198.78292140918998,-537.7064764130201,-436.46070313725414,367.3630191808499,134.60860509415912,152.67047565707983,256.0900978811109,124.70360820716033,-27.591544289697424,15.348341294288467,-3.3040784511400805,0
13131,790.5712686258719,-567.1515803297822,290.20204245232236,81.84526332412513,163.4041532802671,629.1412052884116,282.637012111158,141.38948221139947,108.98149309471468,-62.88016880202568,-124.39719534243,110.5236599624006,-154.49927403096663,-0.35325255544805473,0
27945,900.1179384031433,128.93197189330846,-158.8691552272901,-394.0659688165877,-219.66272811417016,477.85940957182413,-92.73650284626886,-4.447998135528313,-202.4195131087491,277.75855856543944,72.51650562071995,-28.912294833768776,21.652086589250032,14.864064868599467,0
14031,925.4969344575587,-183.33506163661713,528.5781725933392,40.73890471621103,-130.63898132029874,200.73518279201824,37.151894322737654,-395.18855484472846,151.35950737531115,-269.9404779350698,302.42848966815234,-6.905828366097405,-231.20386147352053,-37.203157869132674,0
30389,583.1373083878358,-484.43772220123094,141.01619070457556,-163.18355026298408,-14.687198670312888,281.37722010550556,5.790929998217333,465.6186137660225,-88.59597778389607,213.15166820674452,650.6354320945869,94.23621771695399,-176.69158291703596,-88.54611517639877,0
23040,828.2206425714937,-368.05016042736224,-190.46760971086684,-334.08340891831693,427.71998403055727,430.07849174962223,91.56160542740521,184.44621631855327,-380.739151245613,239.95013275667344,-8.678189435532557,-159.61472083080605,83.19406374655381,27.82136485004413,0
18522,1027.7212625145773,-166.77011364298207,370.33046420324973,110.13155898430904,-417.4968134126377,183.2487872521447,-64.04627410286662,-316.6959574007982,134.90529524704854,-83.28503615180085,-113.15016023125696,99.99009097873082,-166.23935737865412,-28.161104443116173,0
28970,803.9095745082767,62.66411320946945,246.99582480026214,-536.2216521327337,214.97966827592262,-177.1290358005876,-16.064942063005486,-0.6120498588052408,220.50049116310117,94.34339568113914,-70.80544408198847,17.085343528520763,89.64682253082454,355.35414980995216,0
41309,855.8001437212885,-376.3791397905695,-350.8658060868762,-208.3722225845325,-91.25067786689891,-260.6566116198437,-205.59115451124458,175.81519942435,-49.73475750421637,-29.87851748982581,-19.234258672976388,-111.05231717664424,78.50160891523738,63.698897740543316,0
2172,966.9669462564176,605.1429877365301,118.87665612665084,14.600666344758142,431.90219459710056,-104.19638764206057,176.79929965430483,76.3106779729132,-31.46943442654288,-45.197107042173876,-187.31032150632151,-145.08384281477024,-149.5670869517222,-53.918240107537045,0
14664,999.1601281423403,-43.417561903904854,146.22291725155827,51.508169115963895,-435.86772420021174,32.94434872941863,221.92691315657638,-343.35395117731304,98.29730535521333,-74.18526021805832,-25.793280890051573,176.80682476294112,2.9349261454390687,104.25154004718087,0
2772,1035.956402152354,645.4123845033173,-159.7218569723885,125.87252825577424,-35.37775713733566,-111.49698356543405,-23.70597799527177,65.51542820367735,-51.40877922176842,-98.44015289387634,-139.07359955402066,-139.84298086139557,-170.02269151000306,-79.96095210722949,0
11090,961.1246620819671,37.899945242306046,-522.9104569196928,292.7000445619747,261.47145832869916,-14.36427903248724,-325.4887760415868,-21.537639297514243,10.554314817541655,357.1649009446584,104.29101501257972,14.918548045048228,-119.36504510946848,-30.67841636442756,0
25480,833.1343932467643,-28.223270483536037,407.7726783641733,-424.0293428793772,130.4508347012032,-117.85226826419606,-72.90266329953464,25.344554875171184,289.0991519732448,72.70159951618156,-92.40376760352798,-168.3661637272928,-26.52625311652308,125.43748323472924,0
30027,900.7612354455787,74.03420753937353,2.1568560986558856,-493.59851394053504,-260.23811975661147,-222.028899924132,-299.71026139181896,86.15173193704709,-1.595131330635227,364.2380224812166,153.43706094908677,97.26171126364977,-120.66696909122162,-6.4388203392050105,0
33771,824.9072088037328,-154.84339559008473,-173.42590415221196,-84.60856353449736,554.7439156979211,-86.08951379822471,1.431721308281781,-21.908396240450195,231.710800445733,-58.060199047632985,-161.1350398187881,158.41287185263775,153.9963039963962,-207.06263766202133,0
340,966.9669391910494,605.1427239334479,118.8757845817524,14.601342722320108,431.90146442737466,-104.19679264883989,176.79904933925928,76.31060113996436,-31.469169337871477,-45.19720217922815,-187.30898839591424,-145.08389430703997,-149.56669573995168,-53.917932051805586,0
20134,1039.7435378685202,-357.63360278958044,-399.5768586919735,-147.62087259225862,30.999274892577013,-65.76841106267322,-239.66519697789622,-69.64070571688424,-378.56898817441663,128.53446232572534,-3.617549438257538,-114.84979793692875,5.483122443378428,-14.699966113964106,0
17335,814.5425545801908,-297.0938805704187,-201.53618642548415,-354.3695170862051,380.15137082068304,533.7819474823725,270.80273686894543,91.71719916195742,122.53633455340454,-90.88326114997203,-126.88620752444581,175.17992425862363,-40.523482271216245,322.3214693177254,0
